relative_path,size_bytes,sha256
B14_V01_1_ABIES_PROCERA_CASE.csv,38646,0fe8da6e87b6838e2c32bea14aef57a7c6e7bcf631a70d0a285c9cc2ac2c95df
B14_V01_1_AB_VS_BA_SUMMARY.csv,17885,801369a81cae7566d40f9f723135c437c17768a4bf2dd26d085e9aa24a9ee084
B14_V01_1_ACTUAL24_OBSERVED_STATE_APPLICATION.parquet,22190,88d4af91b5e1a793b5052897dc8de802f2b336baf6f36026fc4aebe7d193b319
B14_V01_1_DIRECT97_MATERIALITY_SUMMARY.csv,68053,e8a81264fdb6d23485436009c48eb183c94e214a1bfa556fc82254348b013b43
B14_V01_1_DISPOSITION_MATRIX.csv,4560,a60b641f17e6edd8bec75dab9826c52a982c77d1a794d6cdb5ab598baaa71365
B14_V01_1_FAILURE_CONDITIONAL_SEVERITY.csv,22066,7ad1ab8aef8c1d87c6d752c27f42bcbcfef0a6685ff19ae6f85a3debf181c56b
B14_V01_1_FIREWALL_QC.csv,659,4ecb8356b5de842e3f0566f868bc9574e7bf4a716a3359423ca90ed55e46bc80
B14_V01_1_HIDDEN_POSITIVE_INCIDENCE.csv,14276,8bd6fb9124030cf8eb1f588b79fa69dc0e73a67c83ab703ac281786e8445653d
B14_V01_1_INVARIANT_QC.csv,1696,d83c46db25d96a95f32f7a91ad3b841f50ddfb1569addc542a49a5c062972167
B14_V01_1_MAIN_REPORT.md,5688,f3e9e95516b14996b4edbabf332c1752c0cc5f2e24382cc04d3d49009906ff4c
B14_V01_1_OBSERVED_STATE_CALIBRATION_SEAL.json,103023,7ec797cd643018e999b289b87f408d9fdae59af464f2a0c1ac2d77ed16de37fe
B14_V01_1_POSITIVE_STATE_STRESS_SUMMARY.csv,21215,c9f075af48a9baf084b186b2462d0cb60007d2c48d2a229de3578967afa35a14
B14_V01_1_PROVENANCE.csv,1945,e008a788d009aa37ee06d89695bcd206d5e94057d14da63b995ed31ee95c9c38
B14_V01_1_RUN_METADATA.json,4810,3b0c2d788efbd945c1e5b9be703688d6d84d64b63f3fb106d7e2510be9d750cb
B14_V01_1_STRESS_VS_AB_FOLD_DISCREPANCY.csv,35347,f2bc51416603f677c7b7281d345c82de34da5efe74bafb648b5f8fe5855e21d7
B14_V01_1_TARGET_EQUAL_VS_EVENT_EQUAL.csv,22504,cd0977728f7ba4aa9aebf06d19a59dc874c7fe8da73ca70e8614985f583567f5
B14_V01_1_ZERO_STATE_MIXTURE_SUMMARY.csv,17158,23e92723e3ccdb285ebe6d04d99b8bfa50b421453a61ccf45169b3068be9f030
execution.log,1738,4dd2fb506785dc50c439350e44aceee7d671c7a2a8cff7657fc9b1e8979fbd77
src/README_RUN.txt,374,7a2d9de57282b1b12e24f948ce515491c3cce37f825cba3765b9ec5cef91a1ce
src/RUN.cmd,115,174d8bda0bacee3b5feee77a04216c58222345aab7628a820d9129c48d1f9a27
src/TASK_REQUEST_v01_1.md,21206,c597654103b51ac18163a9b72824632fa4eb0039b2e3eeebedbbd9ab3489da58
src/__pycache__/mini_parquet_reader.cpython-312.pyc,15715,97ba288bc7cebe4255c3e769d05558c7604c02495a40da775ecb3f8909290c38
src/b14_v01_1_mixture_correction.py,62221,8fb468e73aa12d986aca1d38decce390c1d335e822382f6c1773dc06104fb7d3
src/config.json,705,da93e9b47159d1cf9915e5cbb13ed11ae70defd463ea2fac3fdfc6eec2f18961
src/mini_parquet.py,8401,8349f28d4aaa2c91d972b4b90ae5fa3121d6639c79fd248388c8b0641a4a5102
src/mini_parquet_reader.py,7266,bfbe4aac56503843ccce751bfff13ce00c71beb5491132fe3244f278e9c9b497
src/verify_csvs.mjs,2140,901ae1794f6f7decbc7cb576ca4d3215200748ab3af65fa2bcc600e40eebafd0
